trending_id,trend_date_time,trend
288,2021-12-12 21:00:32.997325,#MileideNoFaro
289,2021-12-12 21:00:33.197231,Copa do Brasil
290,2021-12-12 21:00:33.364633,Thiago Heleno
291,2021-12-12 21:00:33.542506,Athletico
292,2021-12-12 21:00:33.733746,Lomba
293,2021-12-12 21:00:33.914691,MARCINHO
294,2021-12-13 03:00:34.835925,#Fantastico
296,2021-12-13 03:00:35.236888,CUSCUZ COM BALINHA
1418,2022-02-02 15:12:55.615995,31 X
297,2021-12-13 03:00:35.413534,Mc Gui
298,2021-12-13 03:00:35.535088,#EsperandoMaraisa
299,2021-12-13 03:00:35.674643,#Succession
300,2021-12-13 03:00:35.801825,#NFLnaESPN
301,2021-12-13 03:00:35.928536,PRE SAVE SOBRE
302,2021-12-13 03:00:36.068321,Mad Max
303,2021-12-13 03:00:36.255693,Packers
304,2021-12-13 15:00:20.235168,Messi
305,2021-12-13 15:00:20.510085,Real Madrid
306,2021-12-13 15:00:20.715071,UEFA
307,2021-12-13 15:00:21.001861,Champions
308,2021-12-13 15:00:21.337405,Chelsea
309,2021-12-13 15:00:21.585274,Liverpool
310,2021-12-13 15:00:21.800995,Ajax
311,2021-12-13 15:00:22.079556,Bayern
312,2021-12-13 15:00:22.331994,Benfica
313,2021-12-13 15:00:22.511811,#GoldenGlobes
314,2021-12-13 21:00:48.093205,Djonga
315,2021-12-13 21:00:48.313649,Felipe Melo
316,2021-12-13 21:00:48.482295,JK Rowling
317,2021-12-13 21:00:48.653043,Marina Sena
318,2021-12-13 21:00:48.787056,Thiago Gomes
319,2021-12-13 21:00:48.949758,#MarDeAmor001
320,2021-12-13 21:00:49.215331,Harry Potter
2017,2022-02-22 15:00:13.863015,jout jout
321,2021-12-13 21:00:49.37006,#TodosContraACaça
322,2021-12-13 21:00:49.549617,#PL5544Nao
323,2021-12-13 21:00:49.689375,#PLdaCaçaNão
324,2021-12-14 03:00:15.427202,#EliminaçãoAFazenda
325,2021-12-14 03:00:15.636596,Curry
326,2021-12-14 03:00:15.906577,Angel
327,2021-12-14 03:00:16.146513,#TestedeIdadeMental
328,2021-12-14 03:00:16.274745,Minha Idade Mental
329,2021-12-14 03:00:16.449086,#VerdadesSecretas2
330,2021-12-14 03:00:16.599706,O FEAT TA PRONTO
331,2021-12-14 03:00:16.811532,#SpiderManNoWayHome
332,2021-12-14 03:00:16.996065,Avine Vinny
